Tau: 0, ID Rate: 0.5362149532710281
Tau: 0.001, ID Rate: 0.6098130841121496
Tau: 0.2, ID Rate: 0.2990654205607477
Tau: 0.3, ID Rate: 0.28855140186915884
Tau: 0.4, ID Rate: 0.2850467289719626
Tau: 0.5, ID Rate: 0.2827102803738317
Tau: 0.6, ID Rate: 0.2838785046728972
Tau: 0.7, ID Rate: 0.28738317757009346
Tau: 0.8, ID Rate: 0.2827102803738317
Tau: 0.9, ID Rate: 0.2850467289719626
Tau: 1, ID Rate: 0.2838785046728972
