Tau: 0, ID Rate: 0.3037383177570093
Tau: 0.001, ID Rate: 0.4018691588785047
Tau: 0.2, ID Rate: 0.19275700934579437
Tau: 0.3, ID Rate: 0.20794392523364486
Tau: 0.4, ID Rate: 0.2114485981308411
Tau: 0.5, ID Rate: 0.21612149532710279
Tau: 0.6, ID Rate: 0.21728971962616822
Tau: 0.7, ID Rate: 0.22079439252336447
Tau: 0.8, ID Rate: 0.22546728971962615
Tau: 0.9, ID Rate: 0.22546728971962615
