Tau: 0, ID Rate: 0.23130841121495327
Tau: 0.001, ID Rate: 0.2908878504672897
Tau: 0.01, ID Rate: 0.2044392523364486
Tau: 0.1, ID Rate: 0.183411214953271
Tau: 0.2, ID Rate: 0.18457943925233644
Tau: 0.3, ID Rate: 0.18691588785046728
Tau: 0.4, ID Rate: 0.1985981308411215
Tau: 0.5, ID Rate: 0.19976635514018692
Tau: 0.6, ID Rate: 0.205607476635514
Tau: 0.7, ID Rate: 0.2102803738317757
Tau: 0.8, ID Rate: 0.21261682242990654
Tau: 0.9, ID Rate: 0.21378504672897197
Tau: 1, ID Rate: 0.21378504672897197
