Tau: 2, ID Rate: 0.4801401869158879
Tau: 3, ID Rate: 0.4707943925233645
Tau: 4, ID Rate: 0.46845794392523366
Tau: 5, ID Rate: 0.4649532710280374
Tau: 6, ID Rate: 0.4649532710280374
Tau: 7, ID Rate: 0.46144859813084116
Tau: 8, ID Rate: 0.4544392523364486
Tau: 9, ID Rate: 0.44859813084112155
Tau: 10, ID Rate: 0.4485981308411215
