Outcome,Alpha-Z,Pearson,Euclid
Gender acc (SVM),0.6668421052631579,0.738421052631579,0.6378947368421052
Age r (KRR),-0.12745059571021866,-0.07635767735474713,-0.08365033773146492
Age R^2 (KRR),-0.8612554569410549,-1.107360123002394,-0.47602372831584217
