subject,alpha_z_bw,alpha_procrustes,bures_wasserstein,geodesic_distance,log_euclidean_distance,pearson_distance,euclidean_distance
100307,1.0119346058172312,12.298946220584105,33.924498577865165,27.108347985911287,22.673791694414373,0.30111023175105756,27.918696070020175
100408,1.2968506801414037,13.905541876801724,37.76574561425801,28.85120610549011,24.060650724716947,0.5291926670551955,43.61019972351791
100610,1.0725996258417325,12.067606796788887,32.78791104023716,27.73996135647361,22.739974268325174,0.35991290817935895,26.323631870155534
101006,1.0592684565242934,12.468997817562975,35.045390201900375,27.308457447666605,22.552494339143966,0.3285682184105243,26.839887906092603
101107,1.6528069999233708,14.881447256020293,43.17721817958821,31.46249501040536,26.253642309839638,0.5522815341717722,46.61713791999119
101309,1.1378711640105905,12.264351711082266,33.534085806920785,27.497743560929745,22.63462625124314,0.40879144484949537,29.069691283080736
101915,1.0153727093157983,11.26657046385921,29.104904934449422,27.672064269916994,22.861940958507088,0.3475799916053036,27.50381057839281
102109,1.0718656294815219,11.701136788036557,30.162462268672073,29.004302403007568,23.63643791246185,0.3614612872748115,29.99002448081695
102311,1.2627462713284388,13.311833061594859,38.12217802724038,28.82626158342798,23.855794113713845,0.47278091309695247,32.99432269871618
102513,0.9640214494584143,11.258006758557796,28.601943070144273,26.979028274596523,22.185822180309515,0.3208124519030956,27.05074861598599
102614,1.2993217978514764,14.799051455739832,46.28525292148498,27.852245216448086,23.272646844361418,0.40973821219507944,34.486808294445595
103111,1.2084244722927906,12.645220568273288,35.81013768135472,27.74679963920632,22.881935753849653,0.40729128329396747,27.937439552925138
103212,1.0991566642384356,11.78406367182311,31.04532552026376,28.00119498161997,23.132444326672218,0.328855100469333,29.028041440350947
103414,0.8894922331833186,11.688078564884071,30.848062752276405,26.19523903713804,21.8879419907689,0.27310650360801103,26.631398933431267
103818,1.130604112486651,12.328700958333838,33.33883303438898,28.383162979071322,23.41036123939687,0.4507496364510568,31.55211990707157
104012,0.9992629087965526,12.192227822275012,33.714038189445944,26.988552876540417,22.296741941519176,0.3384112370838144,26.683865448483736
104416,1.0051173825535784,11.377341323487919,30.27793887109246,27.32559159953577,22.564967227503487,0.2939140271462162,24.460958193971347
105014,0.8184279218891533,10.511678290977516,26.701289479011734,26.31751766126181,21.61614132179196,0.24891511241637254,20.933948429971686
105115,1.1680321618142386,13.393658735864383,39.816803674311956,27.242633326546642,22.859632598036736,0.402417748914477,29.057261078418556
105620,1.206680163702373,13.094160993689318,37.51304014679562,27.296000204290667,22.294640599223555,0.3808728801954797,28.909874736643324
105923,1.1142437587155598,12.218800192877302,31.5118896744992,27.590977172802678,22.687221835777077,0.41260959563824173,33.437289441346046
106016,1.0640810064681148,12.146434162217215,32.3444093605072,27.498815403005626,22.779251404200682,0.37387142973139786,31.065100480667915
106521,1.0204050212018387,12.093774432159838,33.41349882604655,26.984238038189563,22.404347396603473,0.35267322979007976,25.129854401141287
106824,1.1555934738848919,12.53139649213126,34.34222439120697,27.596393559877008,22.660997191586766,0.3979530962389415,29.292871579994745
107018,1.113928267036954,12.301305017878319,31.754710876287618,27.29691261304984,22.438271750482667,0.41383976495910557,34.591153614173116
107422,1.0778985526396667,12.374396057718329,31.897724150629045,28.092819484691024,22.994640025254657,0.37691064099926863,34.957922543654135
107725,1.3054757008518152,13.087637512950092,38.440850292261786,28.861007503524434,23.991421586110558,0.42061636073332365,29.505075815155468
108020,1.1472756892675733,12.41974467947416,32.88697215538019,28.57984672314668,23.367639977646743,0.4035735913385293,33.32351134035767
108323,1.1226092883576655,12.229224087249023,33.472110246361495,28.537132393698204,23.41914250054362,0.36953607390903,28.47272295951095
108525,1.1638671549137598,12.698077213658593,36.457824501203106,28.617364460662174,23.364796758708003,0.4111147240128432,26.480666625646947
