subject,anchor_subject,anchor_scan,compare_scan,pair_type,alpha_z_bw,alpha_procrustes,bures_wasserstein,geodesic_distance,log_euclidean_distance,pearson_distance,euclidean_distance
137027,137027,LR,RL,within,0.7932856918142761,10.619928071388106,25.190091128974387,25.331719229925085,20.960875046840023,0.3396844569557609,25.935900512280348
100206,137027,LR,RL,between,1.0426037120138574,12.878785274502254,35.84539476610203,26.596461963099838,22.004054623223126,0.3676559016274802,31.292093705693837
100307,137027,LR,RL,between,1.3159442364356835,14.57483315303499,45.0871803051036,28.152472092288274,23.821645765277847,0.5109249515693064,35.42765911274421
100408,137027,LR,RL,between,1.244495269045757,12.79162010900116,34.762171878460265,28.171122205997577,23.005445697733744,0.4651853583397434,33.613183019769544
100610,137027,LR,RL,between,1.176106158022293,13.251857063608604,37.31195602272447,26.857385303121102,21.955055407997254,0.47229355202043743,32.034004982167744
101006,137027,LR,RL,between,1.3170440264962195,14.402631369899423,43.327686438097885,27.278081778693494,22.61127648611549,0.524257433123674,35.05539611832253
101107,137027,LR,RL,between,1.2157810437978327,12.459746187331444,33.83991725256635,29.47487181196717,24.06342131754598,0.4443600674363338,31.70737545866024
101309,137027,LR,RL,between,1.1662960392797288,12.732476238518487,36.146665705312216,27.47506818183051,22.629254172116433,0.4468776791950938,28.846030420138888
101915,137027,LR,RL,between,1.1399471693895293,12.3513244547101,33.68362990255335,27.994897293599568,22.984751678180928,0.41381224124146476,29.56121871950813
102109,137027,LR,RL,between,1.2819037053410227,12.898337797461169,34.72610286303143,29.73904518999082,24.301743145039428,0.42684292103788113,34.47518525045927
102311,137027,LR,RL,between,1.171334361592315,12.461936419377949,33.65947718021104,27.37923059623956,22.450464143042154,0.41805631903714024,30.476718267804227
102513,137027,LR,RL,between,1.1118705973673713,12.34747188124868,33.48202386047177,26.944926921323862,22.193676264667964,0.42948583441870425,29.619423222266295
102614,137027,LR,RL,between,1.3892601532915592,15.290347788350227,48.25349990053283,28.182579203112148,23.64675433358659,0.5165846077698799,38.02471052230794
103111,137027,LR,RL,between,1.386343333841893,14.67890162570878,45.376813943243064,28.221713377656638,23.456539939820264,0.5460087744203281,36.12740475907806
103212,137027,LR,RL,between,1.2719425750315168,13.261867781363852,38.16748871988668,27.750483679229916,22.702457560906968,0.501436496167081,31.844891295402658
103414,137027,LR,RL,between,1.1329965940006588,12.834730453077277,36.50959153700049,26.938028897851186,22.560915217130923,0.509240036512451,30.206077621657304
103818,137027,LR,RL,between,1.2191642508485785,13.657166638452884,39.4027712996203,27.47040774788657,22.517860259181564,0.4727855596659424,33.62804595670441
104012,137027,LR,RL,between,1.293568334922952,13.93341959937425,41.53559891763405,27.83480029013456,23.258280669092244,0.4949934036573428,33.571962385192585
104416,137027,LR,RL,between,1.092316318254035,12.24276477682893,33.23645106458403,27.37958737118654,22.4863933644065,0.34621700476858397,29.25399336095549
105014,137027,LR,RL,between,1.0687900804578447,11.91155951014086,32.10007022744273,27.714731737453494,22.701681141592523,0.39159359203916866,27.696459743209925
105115,137027,LR,RL,between,1.2857444578485797,14.535758362294475,45.58620287496905,27.86665806029877,23.515379778105242,0.5020948450210246,34.06444971009404
105620,137027,LR,RL,between,1.3444052858249904,14.676522930016054,44.81163771140612,27.625791193247803,22.771339210231716,0.5549202504566728,35.559373939728104
105923,137027,LR,RL,between,1.212848157070539,12.76038412987556,35.48143562553463,27.955509111967668,22.881812143979495,0.4915780699130956,31.039994897132345
106016,137027,LR,RL,between,1.1721126470368972,12.740415870688578,36.05441510854928,27.377410662755516,22.668940043836965,0.4704089697783731,28.977031322116837
106521,137027,LR,RL,between,1.3030336340557653,13.949360600529909,42.69403850492796,28.148271480437298,23.660983808066614,0.5454762369762485,32.747541946478066
106824,137027,LR,RL,between,1.3032623071484153,13.358503582494537,39.459111307241244,27.59315573097398,22.828788261488768,0.5564354766364163,30.00985903139853
107018,137027,LR,RL,between,1.234558215172612,14.054586664900532,40.624224372598434,26.91288927279145,22.19884255526907,0.5297667491834426,35.84012891306969
107422,137027,LR,RL,between,1.1592740930154974,12.576392802236615,32.643396506344544,28.07137380628902,22.980538866601975,0.440353056717286,35.871826662178414
107725,137027,LR,RL,between,1.4415283928920104,15.116327777211637,48.567630350425844,28.549925231342012,23.85890754400277,0.5613020702690678,34.63281425533732
108020,137027,LR,RL,between,1.0981465163293223,12.580002170432836,35.2172370026087,27.52235934543413,22.609264064701158,0.4100915563763097,28.640063274424833
108323,137027,LR,RL,between,1.3377178100805338,14.40573458643903,42.775675145106135,27.575313976384287,22.5638206022028,0.5207207802504727,36.194621663486934
