subject,anchor_subject,anchor_scan,compare_scan,pair_type,alpha_z_bw,alpha_procrustes,bures_wasserstein,geodesic_distance,log_euclidean_distance,pearson_distance,euclidean_distance
137027,137027,RL,LR,within,0.7944866350066633,10.619928071375563,25.19009112897473,25.33171922992496,20.960875046840023,0.3396844569557609,25.935900512280348
100206,137027,RL,LR,between,1.0454330850753166,11.917619972598876,32.31910201909079,27.439378157268763,22.668679599482196,0.3580990253639216,26.18141886698332
100307,137027,RL,LR,between,1.0435060443402762,12.718473417813842,35.648654626272815,25.920809607286667,21.557181727310695,0.3512452209350645,29.10599872886849
100408,137027,RL,LR,between,1.3954493149204978,14.421122551700604,40.58914106790294,28.83553430149173,24.013289594282345,0.5506350534981463,45.04134850554109
100610,137027,RL,LR,between,1.0263406681496718,11.744229396731823,30.84620682203999,26.83137353044355,22.005935392549137,0.3974413787214196,27.995742802508133
101006,137027,RL,LR,between,1.0481203487001807,12.256224814446524,34.00582707692632,26.43196223793068,21.828619650497384,0.34415976071474363,26.931596785684096
101107,137027,RL,LR,between,1.6655357807089786,15.165854331885011,45.047430451019295,31.45888649178498,26.664982612167712,0.5708929281372721,47.999927757365825
101309,137027,RL,LR,between,1.2107148967446903,12.839641886340592,35.931950163595246,27.02472172446244,22.29485516800009,0.47721725027759976,31.646738774223703
101915,137027,RL,LR,between,1.2752917755371556,13.094498498849063,37.12792547020737,27.36038526974737,22.649388036235976,0.49031036620154644,32.370450097570064
102109,137027,RL,LR,between,1.1820403735129332,12.674258286856602,34.55363559931675,28.4353638927647,23.275838575132255,0.4265222076807652,32.72426417742416
102311,137027,RL,LR,between,1.3084679061626332,13.71292770426757,39.677991882926534,28.177329853326672,23.156243504059614,0.5219918394628793,34.87792853746191
102513,137027,RL,LR,between,1.108275317644356,12.585049554053324,34.12218116481452,25.97977809780148,21.41201683360659,0.4680293256943042,32.107681499034555
102614,137027,RL,LR,between,1.1639325657920665,13.790881127831222,41.13386802320903,27.00267028797474,22.54051739430373,0.34875927823384745,32.029605180392096
103111,137027,RL,LR,between,1.1130868314357656,12.12543528017397,33.63785550294497,26.529274169095228,21.90161742035679,0.3923558039347097,27.513401751806192
103212,137027,RL,LR,between,1.2849847905123681,13.363230632958226,38.24380179413234,27.369970669334215,22.663785180319543,0.46920176086719734,34.069223091699314
103414,137027,RL,LR,between,0.920345553867989,11.675361188956588,31.02249509320032,25.608713941264973,21.303282204185994,0.27831354910733974,26.179293067747302
103818,137027,RL,LR,between,1.1449062104000802,12.32945103043251,33.14601160197864,27.595457625825443,22.725703655013987,0.44516560484753065,32.11859954814462
104012,137027,RL,LR,between,1.0771717056931607,12.550233278880237,35.947397451840715,26.834858447492607,22.33508195567191,0.36820384657239813,27.217979636431835
104416,137027,RL,LR,between,1.1165702534021307,12.215295605268972,33.64056499440102,26.550038924919765,21.745187744745547,0.3789597518608916,27.724746795623147
105014,137027,RL,LR,between,0.9692386487054847,11.976374892802323,32.80012777393702,25.999187260930665,21.451835708696734,0.3780301944191147,25.582292751752252
105115,137027,RL,LR,between,1.0523347486365964,12.666243501715853,36.32937676259084,26.629080045496714,22.24149164701985,0.37150860568932254,27.618534270432242
105620,137027,RL,LR,between,1.030626740351579,12.095356453873753,33.24954504133726,26.90789596647967,22.10808636702927,0.3173445296223819,26.264185163674775
105923,137027,RL,LR,between,1.3248809186767971,13.596571069091363,38.06652641417307,27.51734335567682,22.709278684263076,0.5245430530933243,36.92056486643738
106016,137027,RL,LR,between,1.2492521678341149,13.356026734263049,37.74548316284796,26.708310896372982,22.20189838285604,0.5176837959190514,35.88885795241337
106521,137027,RL,LR,between,1.0216319946855066,11.69942756771137,32.31949057707226,26.632633993862754,22.00427526213062,0.33259858187245217,24.258539707825324
106824,137027,RL,LR,between,1.1930080661924194,12.509878219679273,34.46014884762016,27.307959412659955,22.41001213128264,0.3944793785919273,29.81530210722779
107018,137027,RL,LR,between,1.194746862120823,12.81835758818986,34.074134010401906,27.0882331621167,22.389836456061218,0.4469597075722992,36.2667691615567
107422,137027,RL,LR,between,1.294554903632374,13.466921147941829,37.67020580161929,28.55275077432278,23.776015761069814,0.46846067301047223,37.98879491391255
107725,137027,RL,LR,between,1.3805417185730988,13.76295797877506,41.4401654617449,28.01801388739196,23.264813244126984,0.4861423238095154,31.90887062022782
108020,137027,RL,LR,between,1.290824276021766,13.364012417190695,37.44890030695041,28.458505274323446,23.39722483547069,0.48619175510104184,36.08381976989947
108323,137027,RL,LR,between,1.2364236452200288,13.146120678530366,37.77317797748364,28.071473533477207,22.99350607875956,0.43092307074214276,30.735096186797985
